Client_ID,First_Name,Last_Name,Phone,email,devices,location,Android,Desktop,Iphone,city,Full_Name,Receiver_ID,Transfer_Amount,Transfer_Date,Promotion_ID,client_email,promotion,responded,Transaction_ID,Amount_USD,Store
693,Jayden,Dunlap,626-458-8110,Jayden.Dunlap@example.com,"['Android', 'Iphone']","{'City': 'New York', 'Country': 'USA'}",,,,,,,0.0,,,,No Promotion,,1125,39.0,Urban Outfitters Loft
197,Tiago,Dunn,728-796-4352,Tiago.Dunn@example.com,"['Android', 'Iphone']","{'City': 'San Diego', 'Country': 'USA'}",,,,,,965.0,55.76,2024-01-19,114.0,Tiago.Dunn@example.com,Colgatex,Yes,1120,36.0,BestChoice Buy
35,Linda,Combs,742-395-8995,Linda.Combs@example.com,"['Android', 'Iphone', 'Desktop']","{'City': 'Los Angeles', 'Country': 'USA'}",,,,,,,0.0,,94.0,,Flixnet,No,1038,36.0,Urban Outfitters Loft
944,Hiba,Hicks,640-390-3390,Hiba.Hicks@example.com,"['Android', 'Iphone']","{'City': 'Chicago', 'Country': 'USA'}",,,,,,,0.0,,,,No Promotion,,1024,34.0,Trader Tales
169,Katy,Harrington,645-829-7495,Katy.Harrington@example.com,['Iphone'],"{'City': 'San Francisco', 'Country': 'USA'}",,,,,,,0.0,,,,No Promotion,,1057,32.0,SparkMart
202,Kabir,Stewart,891-887-3513,Kabir.Stewart@example.com,"['Android', 'Desktop']","{'City': 'San Francisco', 'Country': 'USA'}",,,,,,846.0,72.79,2023-01-14,68.0,,Oreoz,Yes,1012,32.0,PetPals Mart
174,Kiera,Cotton,254-627-7406,Kiera.Cotton@example.com,['Android'],"{'City': 'Los Angeles', 'Country': 'USA'}",,,,,,,0.0,,,,No Promotion,,1076,29.0,Urban Outfitters Loft
15,Leroy,Barrera,659-190-9378,Leroy.Barrera@example.com,"['Android', 'Iphone', 'Desktop']","{'City': 'New York', 'Country': 'USA'}",,,,,,,0.0,,,,No Promotion,,1138,29.0,Trader Tales
10,Keith,Donovan,549-515-6738,Keith.Donovan@example.com,"['Iphone', 'Desktop']","{'City': 'Chicago', 'Country': 'USA'}",,,,,,211.0,62.25,2023-09-14,63.0,,Oreoz,Yes,1079,26.0,SparkMart
671,Alexander,Terry,480-560-1876,Alexander.Terry@example.com,"['Android', 'Iphone', 'Desktop']","{'City': 'New York', 'Country': 'USA'}",,,,,,160.0,35.34,2022-06-26,,,No Promotion,,1080,24.0,Trader Tales
86,Douglas,Browning,247-523-1403,Douglas.Browning@example.com,['Android'],"{'City': 'New York', 'Country': 'USA'}",,,,,,,0.0,,,,No Promotion,,1124,24.0,SparkMart
441,Conrad,Hanna,934-954-3387,Conrad.Hanna@example.com,"['Iphone', 'Desktop']","{'City': 'San Diego', 'Country': 'USA'}",,,,,,882.0,58.55,2023-03-22,,,No Promotion,,1147,24.0,Urban Outfitters Loft
332,Gertrude,Huffman,148-739-3707,Gertrude.Huffman@example.com,['Iphone'],"{'City': 'San Diego', 'Country': 'USA'}",,,,,,,0.0,,,,No Promotion,,1135,23.0,PetPals Mart
259,Lily,Chan,390-911-6534,Lily.Chan@example.com,"['Android', 'Iphone']","{'City': 'San Francisco', 'Country': 'USA'}",,,,,,965.0,68.0,2022-06-15,,,No Promotion,,1081,23.0,BestChoice Buy
697,Donald,Horne,738-911-3567,Donald.Horne@example.com,"['Android', 'Iphone']","{'City': 'San Francisco', 'Country': 'USA'}",,,,,,908.0,22.34,2024-03-10,,,No Promotion,,1052,23.0,Urban Outfitters Loft
109,Huw,Valentine,441-847-1955,Huw.Valentine@example.com,"['Iphone', 'Desktop']","{'City': 'Chicago', 'Country': 'USA'}",,,,,,,0.0,,3.0,,Oreoz,Yes,1016,22.0,Urban Outfitters Loft
223,Rupert,Mejia,194-235-2353,Rupert.Mejia@example.com,"['Android', 'Desktop']","{'City': 'San Francisco', 'Country': 'USA'}",,,,,,856.0,50.51,2023-02-21,,,No Promotion,,1069,22.0,Trader Tales
742,Kieran,Hoover,101-165-2021,Kieran.Hoover@example.com,"['Android', 'Desktop']","{'City': 'New York', 'Country': 'USA'}",,,,,,,0.0,,,,No Promotion,,1020,22.0,SparkMart
297,Ayesha,O'Reilly,273-616-5739,Ayesha.O'Reilly@example.com,['Iphone'],"{'City': 'San Diego', 'Country': 'USA'}",,,,,,,0.0,,,,No Promotion,,1007,22.0,SparkMart
182,Luqman,Carrillo,124-533-2523,Luqman.Carrillo@example.com,['Android'],"{'City': 'New York', 'Country': 'USA'}",,,,,,,0.0,,182.0,Luqman.Carrillo@example.com,Coca-Splash,Yes,1072,21.0,SparkMart
124,Carol,York,402-586-5192,Carol.York@example.com,['Android'],"{'City': 'San Diego', 'Country': 'USA'}",,,,,,546.0,7.1,2023-08-26,,,No Promotion,,1066,21.0,Urban Outfitters Loft
518,Mabel,Pace,752-347-2146,Mabel.Pace@example.com,"['Iphone', 'Desktop']","{'City': 'Los Angeles', 'Country': 'USA'}",,,,,,,0.0,,,,No Promotion,,1061,20.0,SparkMart
258,Felicity,Tran,530-539-9474,Felicity.Tran@example.com,"['Android', 'Iphone']","{'City': 'San Diego', 'Country': 'USA'}",,,,,,926.0,3.49,2022-04-02,108.0,,GatorBoost,Yes,1130,20.0,BestChoice Buy
752,Marwa,Dennis,444-295-8051,Marwa.Dennis@example.com,['Iphone'],"{'City': 'Chicago', 'Country': 'USA'}",,,,,,438.0,43.27,2023-12-31,56.0,Marwa.Dennis@example.com,GatorBoost,Yes,1010,19.0,Trader Tales
89,Everett,Fitzpatrick,520-305-7264,Everett.Fitzpatrick@example.com,['Iphone'],"{'City': 'New York', 'Country': 'USA'}",,,,,,693.0,51.23,2023-10-12,,,No Promotion,,1011,18.0,Trader Tales
63,Johnathan,Berger,545-458-1679,Johnathan.Berger@example.com,"['Iphone', 'Desktop']","{'City': 'San Diego', 'Country': 'USA'}",,,,,,621.0,22.57,2022-11-20,,,No Promotion,,1132,18.0,Trader Tales
235,Tamara,Riddle,481-405-7265,Tamara.Riddle@example.com,"['Android', 'Iphone', 'Desktop']","{'City': 'Los Angeles', 'Country': 'USA'}",,,,,,,0.0,,,,No Promotion,,1111,17.0,Trader Tales
854,Ffion,Knight,233-159-4158,Ffion.Knight@example.com,['Iphone'],"{'City': 'San Diego', 'Country': 'USA'}",,,,,,273.0,42.99,2022-11-25,,,No Promotion,,1000,17.0,Trader Tales
132,Tina,Powell,372-218-6551,Tina.Powell@example.com,"['Android', 'Desktop']","{'City': 'New York', 'Country': 'USA'}",,,,,,,0.0,,,,No Promotion,,1015,17.0,BestChoice Buy
564,Craig,Mcknight,634-813-9351,Craig.Mcknight@example.com,"['Android', 'Desktop']","{'City': 'Chicago', 'Country': 'USA'}",,,,,,,0.0,,78.0,Craig.Mcknight@example.com,Oreoz,Yes,1006,17.0,BestChoice Buy
554,Tyrell,Holman,582-574-4299,Tyrell.Holman@example.com,"['Iphone', 'Desktop']","{'City': 'San Francisco', 'Country': 'USA'}",,,,,,877.0,33.99,2022-12-13,,,No Promotion,,1139,17.0,PetPals Mart
445,Marco,Fletcher,196-551-2162,Marco.Fletcher@example.com,"['Android', 'Iphone']","{'City': 'Los Angeles', 'Country': 'USA'}",,,,,,,0.0,,,,No Promotion,,1129,17.0,SparkMart
530,Isobelle,Davidson,237-295-4490,Isobelle.Davidson@example.com,['Iphone'],"{'City': 'San Francisco', 'Country': 'USA'}",,,,,,,0.0,,,,No Promotion,,1094,16.0,Trader Tales
15,Leroy,Barrera,659-190-9378,Leroy.Barrera@example.com,"['Android', 'Iphone', 'Desktop']","{'City': 'New York', 'Country': 'USA'}",,,,,,,0.0,,,,No Promotion,,1002,16.0,Trader Tales
746,Isabelle,Jenkins,724-444-3001,Isabelle.Jenkins@example.com,"['Android', 'Iphone']","{'City': 'San Diego', 'Country': 'USA'}",,,,,,55.0,65.61,2023-06-30,,,No Promotion,,1126,16.0,Urban Outfitters Loft
584,Darcy,Jenkins,705-890-7715,Darcy.Jenkins@example.com,['Iphone'],"{'City': 'Los Angeles', 'Country': 'USA'}",,,,,,,0.0,,,,No Promotion,,1114,16.0,PetPals Mart
