user_id,first_name,last_name,phone,email,devices,dob,city,country,name
1,Jamie,Bright,5338493913,jamie.bright@example.com,Android,05/20/2000,montreal,canada,
2,Arabella,Knox,6522729539,arabella.knox@example.com,"Android, Iphone",02/22/1996,los angeles,usa,
3,Yusra,Fletcher,3857028874,yusra.fletcher@example.com,"Android, Iphone, Desktop",10/30/1998,toronto,canada,
4,Esme,Nielsen,6217975367,esme.nielsen@example.com,"Android, Iphone",02/17/2000,los angeles,usa,
6,Dean,Lewis,2439553782,dean.lewis@example.com,"Android, Iphone, Desktop",10/14/2000,san diego,usa,
7,Inaaya,Velasquez,4892417631,inaaya.velasquez@example.com,"Android, Iphone, Desktop",04/23/1987,los angeles,usa,
8,Tasnim,Cobb,2623808877,tasnim.cobb@example.com,Desktop,01/04/1992,san diego,usa,
9,Asa,Vazquez,5044214485,asa.vazquez@example.com,Android,06/23/2004,toronto,canada,
10,Keith,Donovan,5495156738,keith.donovan@example.com,"Iphone, Desktop",06/22/1994,chicago,usa,
11,Moshe,Colon,1316225442,moshe.colon@example.com,"Iphone, Desktop",02/19/1988,new york,usa,
12,Hussain,Santos,3793526285,hussain.santos@example.com,"Iphone, Desktop",11/06/1989,san diego,usa,
13,Lillian,Hanna,4887628236,lillian.hanna@example.com,Iphone,08/24/1999,los angeles,usa,
14,Harvey,Guerrero,5976776862,harvey.guerrero@example.com,Iphone,02/10/1988,chicago,usa,
15,Leroy,Barrera,6591909378,leroy.barrera@example.com,"Android, Iphone, Desktop",10/23/1989,new york,usa,
16,Zack,Griffin,4673707724,zack.griffin@example.com,Desktop,01/24/1998,san diego,usa,
17,Adele,Garza,4299161662,adele.garza@example.com,"Android, Iphone, Desktop",02/10/1991,new york,usa,
18,Sandra,Cherry,2186054170,sandra.cherry@example.com,Desktop,05/22/1972,san francisco,usa,
19,Carmen,Burton,5273687429,carmen.burton@example.com,"Android, Desktop",03/25/1989,toronto,canada,
20,Donald,Stone,7302604630,donald.stone@example.com,"Android, Desktop",12/10/1994,london,united kingdom,
21,Clifford,Mcgee,7151166302,clifford.mcgee@example.com,"Android, Iphone",11/08/1998,san francisco,usa,
22,Gerald,Maldonado,6601163336,gerald.maldonado@example.com,Android,03/25/1993,san francisco,usa,
23,Danielle,Glenn,7277093351,danielle.glenn@example.com,"Android, Iphone, Desktop",11/23/1992,san francisco,usa,
25,Alina,Mccoy,4952928149,alina.mccoy@example.com,"Iphone, Desktop",12/17/1993,san francisco,usa,
27,Frazer,Anthony,1393961336,frazer.anthony@example.com,"Iphone, Desktop",04/28/1999,new york,usa,
28,Cassie,Molina,8118065304,cassie.molina@example.com,"Android, Desktop",05/17/1972,san francisco,usa,
30,Stephanie,Rice,8309019870,stephanie.rice@example.com,Android,04/19/1990,montreal,canada,
31,Bradley,Butler,9371722269,bradley.butler@example.com,Iphone,11/25/1988,montreal,canada,
32,Alejandro,Brandt,3342791420,alejandro.brandt@example.com,"Android, Iphone, Desktop",03/12/1992,new york,usa,
34,Livia,Howe,8688284315,livia.howe@example.com,Iphone,10/26/1992,toronto,canada,
35,Linda,Combs,7423958995,linda.combs@example.com,"Android, Iphone, Desktop",07/04/1988,los angeles,usa,
36,Dominik,Odling,3651453897,dominik.odling@example.com,"Android, Desktop",09/17/1996,los angeles,usa,
37,Lili,Schroeder,6403482128,lili.schroeder@example.com,"Android, Iphone",02/26/1999,toronto,canada,
38,Jeremiah,Martin,2773505557,jeremiah.martin@example.com,Android,12/15/1995,london,united kingdom,
40,Clara,Bird,9586053200,clara.bird@example.com,Android,07/17/1998,san francisco,usa,
41,Cody,Riley,8729069681,cody.riley@example.com,"Android, Iphone, Desktop",09/28/1986,london,united kingdom,
42,Tomas,Griffith,4923374468,tomas.griffith@example.com,Iphone,12/14/2000,london,united kingdom,
43,Elena,Pineda,6172269486,elena.pineda@example.com,"Android, Iphone, Desktop",05/17/1967,los angeles,usa,
