id,client_email,telephone,promotion,responded,promotion_date
1,Rishi.Barron@example.com,331-128-4346,Oreoz,No,2022-09-20
2,,885-134-1740,RedCow,No,2022-01-21
3,,870-909-4612,Dovee,Yes,2023-12-29
4,Dulcie.Melendez@example.com,,RedCow,Yes,2022-08-22
5,,561-365-7378,Popsi,Yes,2023-08-10
6,fey_kuser@example.com,,Flixnet,Yes,2024-01-21
7,Chester.Bell@example.com,,Flixnet,No,2022-07-06
8,Cecilia.Edwards@example.com,,Popsi,No,2024-01-17
9,,958-724-3846,Oreoz,Yes,2022-08-03
10,Kacie.Lester@example.com,673-651-6332,GatorBoost,Yes,2022-03-25
11,Gareth.Sanford@example.com,161-842-7749,KittyKat,No,2022-07-10
12,,176-108-4411,Flixnet,No,2023-03-15
13,Annalise.Stephens@example.com,,Dovee,No,2022-06-03
14,Tomos.Velez@example.com,233-661-3978,RedCow,Yes,2022-08-04
15,Deacon.Boone@example.com,,Oreoz,Yes,2022-08-22
16,fey_kuser@example.com,,Coca-Splash,Yes,2023-05-20
17,,416-772-8288,Oreoz,No,2024-01-05
18,Usman.Swanson@example.com,431-103-9132,Coca-Splash,No,2024-03-17
19,fey_kuser@example.com,,Flixnet,Yes,2024-02-06
20,Kelvin.Hendricks@example.com,,Coca-Splash,No,2024-01-14
21,,563-494-9026,Coca-Splash,Yes,2023-09-27
22,Marwa.Dennis@example.com,444-295-8051,GatorBoost,Yes,2023-05-31
23,Fletcher.Moreno@example.com,,Flixnet,No,2022-09-19
24,fey_kuser@example.com,,Colgatex,Yes,2023-11-14
25,Brenda.Ingram@example.com,,Colgatex,No,2023-09-28
26,Bridget.Oneill@example.com,,Coca-Splash,No,2024-03-09
27,Zara.Washington@example.com,,Dovee,No,2024-03-05
28,,492-337-4468,Flixnet,Yes,2023-02-19
29,Azaan.Roth@example.com,,Flixnet,Yes,2022-02-09
30,Sandra.Bowman@example.com,,KittyKat,No,2023-12-20
31,,508-390-8347,GatorBoost,Yes,2022-11-07
32,Ted.Wiggins@example.com,,KittyKat,Yes,2022-08-26
33,,507-446-1333,KittyKat,Yes,2022-12-06
34,Daniela.James@example.com,,GatorBoost,Yes,2022-07-08
35,Mike.Hurst@example.com,488-247-6930,Dovee,Yes,2022-09-05
36,,986-281-7506,KittyKat,No,2023-09-18
37,Luqman.Carrillo@example.com,124-533-2523,Coca-Splash,Yes,2022-11-10
38,,338-784-4359,Dovee,No,2024-03-12
39,,533-397-5445,Krafty Cheddar,No,2022-06-29
40,,742-395-8995,Flixnet,No,2024-01-25
41,Lily.Chan@example.com,,KittyKat,Yes,2023-12-19
42,Clifford.Mcgee@example.com,,Coca-Splash,No,2022-06-30
43,,139-396-1336,Oreoz,No,2022-07-12
44,Nelson.Huff@example.com,169-619-4582,Coca-Splash,Yes,2023-11-22
45,Zayn.Webb@example.com,561-761-7547,GatorBoost,No,2022-06-08
46,Brooklyn.Fowler@example.com,,Popsi,Yes,2023-05-27
47,Patrick.Morse@example.com,220-102-3684,KittyKat,Yes,2022-11-09
