id,items,phone,store
1000,"[{'name': 'Krafty Cheddar', 'total': '5', 'price_per_item': '5', 'quantity': '1'}, {'name': 'Popsi', 'total': '4', 'price_per_item': '4', 'quantity': '1'}, {'name': 'Oreoz', 'total': '8', 'price_per_item': '4', 'quantity': '2'}]",233-159-4158,Trader Tales
1001,"[{'name': 'Colgatex', 'total': '2', 'price_per_item': '2', 'quantity': '1'}]",725-427-2794,PetPals Mart
1002,"[{'name': 'Colgatex', 'total': '3', 'price_per_item': '3', 'quantity': '1'}, {'name': 'Dovee', 'total': '2', 'price_per_item': '2', 'quantity': '1'}, {'name': 'Flixnet', 'total': '11', 'price_per_item': '11', 'quantity': '1'}]",659-190-9378,Trader Tales
1003,"[{'name': 'Krafty Cheddar', 'total': '8', 'price_per_item': '4', 'quantity': '2'}, {'name': 'RedCow', 'total': '3', 'price_per_item': '3', 'quantity': '1'}, {'name': 'Dovee', 'total': '2', 'price_per_item': '1', 'quantity': '2'}]",334-436-6254,Urban Outfitters Loft
1004,"[{'name': 'Popsi', 'total': '3', 'price_per_item': '3', 'quantity': '1'}, {'name': 'Flixnet', 'total': '10', 'price_per_item': '10', 'quantity': '1'}]",615-102-4849,PetPals Mart
1005,"[{'name': 'Popsi', 'total': '3', 'price_per_item': '3', 'quantity': '1'}, {'name': 'KittyKat', 'total': '4', 'price_per_item': '2', 'quantity': '2'}]",294-365-8364,Urban Outfitters Loft
1006,"[{'name': 'Flixnet', 'total': '11', 'price_per_item': '11', 'quantity': '1'}, {'name': 'Colgatex', 'total': '6', 'price_per_item': '3', 'quantity': '2'}]",634-813-9351,BestChoice Buy
1007,"[{'name': 'KittyKat', 'total': '8', 'price_per_item': '4', 'quantity': '2'}, {'name': 'RedCow', 'total': '5', 'price_per_item': '5', 'quantity': '1'}, {'name': 'Dovee', 'total': '9', 'price_per_item': '3', 'quantity': '3'}]",273-616-5739,SparkMart
1008,"[{'name': 'Colgatex', 'total': '4', 'price_per_item': '4', 'quantity': '1'}, {'name': 'RedCow', 'total': '5', 'price_per_item': '5', 'quantity': '1'}, {'name': 'KittyKat', 'total': '4', 'price_per_item': '4', 'quantity': '1'}]",839-124-9420,SparkMart
1009,"[{'name': 'Krafty Cheddar', 'total': '5', 'price_per_item': '5', 'quantity': '1'}]",645-829-7495,Trader Tales
1010,"[{'name': 'Flixnet', 'total': '11', 'price_per_item': '11', 'quantity': '1'}, {'name': 'RedCow', 'total': '4', 'price_per_item': '4', 'quantity': '1'}, {'name': 'Popsi', 'total': '4', 'price_per_item': '4', 'quantity': '1'}]",444-295-8051,Trader Tales
1011,"[{'name': 'Colgatex', 'total': '3', 'price_per_item': '3', 'quantity': '1'}, {'name': 'Popsi', 'total': '4', 'price_per_item': '4', 'quantity': '1'}, {'name': 'Flixnet', 'total': '11', 'price_per_item': '11', 'quantity': '1'}]",520-305-7264,Trader Tales
1012,"[{'name': 'Colgatex', 'total': '2', 'price_per_item': '2', 'quantity': '1'}, {'name': 'Flixnet', 'total': '30', 'price_per_item': '10', 'quantity': '3'}]",891-887-3513,PetPals Mart
1013,"[{'name': 'RedCow', 'total': '4', 'price_per_item': '4', 'quantity': '1'}, {'name': 'Colgatex', 'total': '3', 'price_per_item': '3', 'quantity': '1'}, {'name': 'Dovee', 'total': '4', 'price_per_item': '2', 'quantity': '2'}]",114-507-5478,BestChoice Buy
1014,"[{'name': 'Krafty Cheddar', 'total': '5', 'price_per_item': '5', 'quantity': '1'}]",558-608-9550,BestChoice Buy
1015,"[{'name': 'Colgatex', 'total': '3', 'price_per_item': '3', 'quantity': '1'}, {'name': 'Krafty Cheddar', 'total': '10', 'price_per_item': '5', 'quantity': '2'}, {'name': 'Popsi', 'total': '4', 'price_per_item': '4', 'quantity': '1'}]",372-218-6551,BestChoice Buy
1016,"[{'name': 'Popsi', 'total': '9', 'price_per_item': '3', 'quantity': '3'}, {'name': 'Dovee', 'total': '3', 'price_per_item': '1', 'quantity': '3'}, {'name': 'Flixnet', 'total': '10', 'price_per_item': '10', 'quantity': '1'}]",441-847-1955,Urban Outfitters Loft
1017,"[{'name': 'Dovee', 'total': '1', 'price_per_item': '1', 'quantity': '1'}]",924-146-4189,PetPals Mart
1018,"[{'name': 'Dovee', 'total': '2', 'price_per_item': '1', 'quantity': '2'}]",512-600-6692,Urban Outfitters Loft
1019,"[{'name': 'Popsi', 'total': '4', 'price_per_item': '4', 'quantity': '1'}, {'name': 'Colgatex', 'total': '6', 'price_per_item': '3', 'quantity': '2'}]",362-464-9875,Trader Tales
1020,"[{'name': 'Flixnet', 'total': '12', 'price_per_item': '12', 'quantity': '1'}, {'name': 'Popsi', 'total': '10', 'price_per_item': '5', 'quantity': '2'}]",101-165-2021,SparkMart
1021,"[{'name': 'Colgatex', 'total': '2', 'price_per_item': '2', 'quantity': '1'}]",563-494-9026,Urban Outfitters Loft
1022,"[{'name': 'RedCow', 'total': '8', 'price_per_item': '4', 'quantity': '2'}, {'name': 'Krafty Cheddar', 'total': '5', 'price_per_item': '5', 'quantity': '1'}]",918-588-9531,Trader Tales
