id,first_name,last_name,telephone,email,dob,city,country,android,iphone,desktop
1,Jamie,Bright,533-849-3913,Jamie.Bright@example.com,2000-05-20,Montreal,Canada,True,True,True
2,Arabella,Knox,652-272-9539,Arabella.Knox@example.com,1996-02-22,Los Angeles,USA,True,True,True
3,Yusra,Fletcher,385-702-8874,Yusra.Fletcher@example.com,1998-10-30,Toronto,Canada,True,True,True
4,Esme,Nielsen,621-797-5367,Esme.Nielsen@example.com,2000-02-17,Los Angeles,USA,True,True,True
5,Beatrix,Everett,194-640-2758,Beatrix.Everett@example.com,1984-08-14,Paris,France,True,False,False
6,Dean,Lewis,243-955-3782,Dean.Lewis@example.com,2000-10-14,San Diego,USA,True,True,True
7,Inaaya,Velasquez,489-241-7631,Inaaya.Velasquez@example.com,1987-04-23,Los Angeles,USA,True,True,True
8,Tasnim,Cobb,262-380-8877,Tasnim.Cobb@example.com,1992-01-04,San Diego,USA,True,True,True
9,Asa,Vazquez,504-421-4485,Asa.Vazquez@example.com,2004-06-23,Toronto,Canada,True,True,True
10,Keith,Donovan,549-515-6738,Keith.Donovan@example.com,1994-06-22,Chicago,USA,True,True,True
11,Moshe,Colon,131-622-5442,Moshe.Colon@example.com,1988-02-19,New York,USA,True,True,True
12,Hussain,Santos,379-352-6285,Hussain.Santos@example.com,1989-11-06,San Diego,USA,True,True,True
13,Lillian,Hanna,488-762-8236,Lillian.Hanna@example.com,1999-08-24,Los Angeles,USA,True,True,True
14,Harvey,Guerrero,597-677-6862,Harvey.Guerrero@example.com,1988-02-10,Chicago,USA,True,True,True
15,Leroy,Barrera,659-190-9378,Leroy.Barrera@example.com,1989-10-23,New York,USA,True,True,True
16,Zack,Griffin,467-370-7724,Zack.Griffin@example.com,1998-01-24,San Diego,USA,True,True,True
17,Adele,Garza,429-916-1662,Adele.Garza@example.com,1991-02-10,New York,USA,True,True,True
18,Sandra,Cherry,218-605-4170,Sandra.Cherry@example.com,1972-05-22,San Francisco,USA,True,True,True
19,Carmen,Burton,527-368-7429,Carmen.Burton@example.com,1989-03-25,Toronto,Canada,True,True,True
20,Donald,Stone,730-260-4630,Donald.Stone@example.com,1994-12-10,London,United Kingdom,True,True,True
21,Clifford,Mcgee,715-116-6302,Clifford.Mcgee@example.com,1998-11-08,San Francisco,USA,True,True,True
22,Gerald,Maldonado,660-116-3336,Gerald.Maldonado@example.com,1993-03-25,San Francisco,USA,True,True,True
23,Danielle,Glenn,727-709-3351,Danielle.Glenn@example.com,1992-11-23,San Francisco,USA,True,True,True
24,Isabelle,Lopez,981-878-3234,Isabelle.Lopez@example.com,1966-07-09,Paris,France,True,True,False
25,Alina,Mccoy,495-292-8149,Alina.Mccoy@example.com,1993-12-17,San Francisco,USA,True,True,True
