id,promotion,responded,promotion_date,email,telephone
1,Oreoz,No,2022-09-20,Rishi.Barron@example.com,331-128-4346
2,RedCow,No,2022-01-21,Anita.Skinner@example.com,885-134-1740
3,Dovee,Yes,2023-12-29,Kaya.Jacobson@example.com,870-909-4612
4,RedCow,Yes,2022-08-22,Dulcie.Melendez@example.com,659-843-5422
5,Popsi,Yes,2023-08-10,Adnan.Allen@example.com,561-365-7378
6,Flixnet,Yes,2024-01-21,fey_kuser@example.com,999-999-9999
7,Flixnet,No,2022-07-06,Chester.Bell@example.com,501-541-1518
8,Popsi,No,2024-01-17,Cecilia.Edwards@example.com,941-963-8256
9,Oreoz,Yes,2022-08-03,Gerard.Francis@example.com,958-724-3846
10,GatorBoost,Yes,2022-03-25,Kacie.Lester@example.com,673-651-6332
11,KittyKat,No,2022-07-10,Gareth.Sanford@example.com,161-842-7749
12,Flixnet,No,2023-03-15,Libbie.Swanson@example.com,176-108-4411
13,Dovee,No,2022-06-03,Annalise.Stephens@example.com,853-224-1381
14,RedCow,Yes,2022-08-04,Tomos.Velez@example.com,233-661-3978
15,Oreoz,Yes,2022-08-22,Deacon.Boone@example.com,950-335-6994
16,Coca-Splash,Yes,2023-05-20,fey_kuser@example.com,999-999-9999
17,Oreoz,No,2024-01-05,Tony.Shepard@example.com,416-772-8288
18,Coca-Splash,No,2024-03-17,Usman.Swanson@example.com,431-103-9132
19,Flixnet,Yes,2024-02-06,fey_kuser@example.com,999-999-9999
20,Coca-Splash,No,2024-01-14,Kelvin.Hendricks@example.com,767-726-4455
21,Coca-Splash,Yes,2023-09-27,Otis.Pittman@example.com,563-494-9026
22,GatorBoost,Yes,2023-05-31,Marwa.Dennis@example.com,444-295-8051
23,Flixnet,No,2022-09-19,Fletcher.Moreno@example.com,228-202-6360
24,Colgatex,Yes,2023-11-14,fey_kuser@example.com,999-999-9999
25,Colgatex,No,2023-09-28,Brenda.Ingram@example.com,919-358-6885
26,Coca-Splash,No,2024-03-09,Bridget.Oneill@example.com,349-116-7728
27,Dovee,No,2024-03-05,Zara.Washington@example.com,679-367-1926
28,Flixnet,Yes,2023-02-19,Tomas.Griffith@example.com,492-337-4468
29,Flixnet,Yes,2022-02-09,Azaan.Roth@example.com,130-119-2032
30,KittyKat,No,2023-12-20,Sandra.Bowman@example.com,190-234-9749
31,GatorBoost,Yes,2022-11-07,Mateo.Francis@example.com,508-390-8347
32,KittyKat,Yes,2022-08-26,Ted.Wiggins@example.com,153-176-3641
33,KittyKat,Yes,2022-12-06,Sarah.Mooney@example.com,507-446-1333
34,GatorBoost,Yes,2022-07-08,Daniela.James@example.com,716-145-3987
35,Dovee,Yes,2022-09-05,Mike.Hurst@example.com,488-247-6930
36,KittyKat,No,2023-09-18,Emre.Everett@example.com,986-281-7506
37,Coca-Splash,Yes,2022-11-10,Luqman.Carrillo@example.com,124-533-2523
38,Dovee,No,2024-03-12,Calvin.Tucker@example.com,338-784-4359
39,Krafty Cheddar,No,2022-06-29,Eesa.Buchanan@example.com,533-397-5445
40,Flixnet,No,2024-01-25,Linda.Combs@example.com,742-395-8995
41,KittyKat,Yes,2023-12-19,Lily.Chan@example.com,390-911-6534
42,Coca-Splash,No,2022-06-30,Clifford.Mcgee@example.com,715-116-6302
43,Oreoz,No,2022-07-12,Frazer.Anthony@example.com,139-396-1336
44,Coca-Splash,Yes,2023-11-22,Nelson.Huff@example.com,169-619-4582
45,GatorBoost,No,2022-06-08,Zayn.Webb@example.com,561-761-7547
46,Popsi,Yes,2023-05-27,Brooklyn.Fowler@example.com,933-501-9509
47,KittyKat,Yes,2022-11-09,Patrick.Morse@example.com,220-102-3684
48,GatorBoost,No,2022-05-03,Myrtle.Lewis@example.com,727-289-2785
49,Dovee,No,2023-01-27,Tia.Ali@example.com,507-663-5326
50,Colgatex,No,2022-03-08,Tony.Shepard@example.com,416-772-8288
51,Popsi,No,2023-01-11,Prince.Sharp@example.com,886-278-8764
52,Dovee,No,2022-01-11,Oliver.Garner@example.com,937-976-2511
53,Dovee,Yes,2022-11-30,Ismaeel.Schmidt@example.com,110-478-3409
54,KittyKat,No,2022-04-22,David.Mcconnell@example.com,967-585-7262
55,GatorBoost,No,2022-10-24,Christopher.Pollard@example.com,915-743-9764
56,Colgatex,No,2024-03-27,Mark.Friedman@example.com,111-862-3502
57,Coca-Splash,No,2022-06-04,Kitty.Carroll@example.com,305-617-1384
58,Oreoz,Yes,2023-12-02,Kabir.Stewart@example.com,891-887-3513
59,Krafty Cheddar,Yes,2023-07-19,Saad.Ali@example.com,185-189-3978
60,Popsi,Yes,2022-12-28,Steven.Reid@example.com,490-977-4025
61,RedCow,No,2024-01-26,Casey.Finley@example.com,306-893-4689
62,Oreoz,Yes,2023-12-31,Maximillian.Atkins@example.com,421-834-8740
63,Krafty Cheddar,Yes,2023-07-02,Jayden.Meyers@example.com,233-480-8798
64,Oreoz,No,2024-02-12,Sahil.Lyons@example.com,494-702-9881
65,Krafty Cheddar,No,2024-03-27,Raheem.Ellis@example.com,491-961-7709
66,Popsi,Yes,2023-05-29,Bethan.Franco@example.com,317-895-5803
67,Oreoz,Yes,2023-12-21,Mariam.Campos@example.com,102-916-1394
68,GatorBoost,No,2022-09-29,Lucia.Cisneros@example.com,470-574-7167
69,Popsi,No,2023-11-13,Aidan.Mcmahon@example.com,896-647-2628
