transaction_id,telephone,store,item_name,total_price,price_per_item,quantity,date
1,245-506-5389,PetPals Mart,GatorBoost,3.0,3.0,1,2024-04-12
2,796-816-9963,Urban Outfitters Loft,Flixnet,10.0,10.0,1,2023-11-01
2,796-816-9963,Urban Outfitters Loft,Dovee,1.0,1.0,1,2023-11-01
3,507-883-4629,Urban Outfitters Loft,Flixnet,10.0,10.0,1,2024-02-15
4,504-112-5228,Urban Outfitters Loft,KittyKat,2.0,2.0,1,2022-05-23
5,699-966-4749,BestChoice Buy,Dovee,2.0,2.0,1,2022-05-15
6,368-154-2650,Urban Outfitters Loft,RedCow,9.0,3.0,3,2022-08-25
7,778-566-2709,Trader Tales,Colgatex,3.0,3.0,1,2022-07-05
7,778-566-2709,Trader Tales,Krafty Cheddar,5.0,5.0,1,2022-07-05
8,999-999-9999,Trader Tales,Krafty Cheddar,1.0,1.0,1,2023-08-17
9,481-405-7265,Trader Tales,Colgatex,3.0,3.0,1,2022-07-31
9,481-405-7265,Trader Tales,Flixnet,11.0,11.0,1,2022-07-31
9,481-405-7265,Trader Tales,Coca-Splash,3.0,3.0,1,2022-07-31
10,999-999-9999,Trader Tales,GatorBoost,1.0,1.0,1,2023-07-30
11,743-908-5464,SparkMart,Colgatex,4.0,4.0,1,2022-12-11
12,194-235-2353,Trader Tales,RedCow,12.0,4.0,3,2022-06-20
12,194-235-2353,Trader Tales,Krafty Cheddar,10.0,5.0,2,2022-06-20
13,228-202-6360,Urban Outfitters Loft,Popsi,6.0,3.0,2,2022-10-03
13,228-202-6360,Urban Outfitters Loft,Dovee,1.0,1.0,1,2022-10-03
13,228-202-6360,Urban Outfitters Loft,Flixnet,5.0,5.0,1,2022-10-03
14,264-319-7312,Urban Outfitters Loft,Dovee,1.0,1.0,1,2022-07-01
14,264-319-7312,Urban Outfitters Loft,Colgatex,2.0,2.0,1,2022-07-01
15,148-739-3707,PetPals Mart,Flixnet,20.0,10.0,2,2023-04-27
15,148-739-3707,PetPals Mart,GatorBoost,3.0,3.0,1,2023-04-27
16,617-226-9486,PetPals Mart,Flixnet,10.0,10.0,1,2023-01-09
16,617-226-9486,PetPals Mart,Oreoz,3.0,3.0,1,2023-01-09
16,617-226-9486,PetPals Mart,KittyKat,2.0,2.0,1,2023-01-09
17,839-124-9420,SparkMart,Colgatex,4.0,4.0,1,2022-02-23
17,839-124-9420,SparkMart,RedCow,5.0,5.0,1,2022-02-23
17,839-124-9420,SparkMart,KittyKat,4.0,4.0,1,2022-02-23
18,645-829-7495,Trader Tales,Krafty Cheddar,5.0,5.0,1,2022-09-04
19,999-999-9999,Trader Tales,Oreoz,1.0,1.0,1,2023-10-02
20,652-272-9539,Urban Outfitters Loft,RedCow,6.0,3.0,2,2024-03-19
20,652-272-9539,Urban Outfitters Loft,Dovee,1.0,1.0,1,2024-03-19
20,652-272-9539,Urban Outfitters Loft,Popsi,3.0,3.0,1,2024-03-19
21,531-380-1711,PetPals Mart,KittyKat,2.0,2.0,1,2023-04-28
21,531-380-1711,PetPals Mart,Flixnet,10.0,10.0,1,2023-04-28
22,444-295-8051,Trader Tales,Flixnet,11.0,11.0,1,2023-06-26
22,444-295-8051,Trader Tales,RedCow,4.0,4.0,1,2023-06-26
22,444-295-8051,Trader Tales,Popsi,4.0,4.0,1,2023-06-26
23,515-268-3667,PetPals Mart,Dovee,1.0,1.0,1,2023-05-02
24,271-604-3446,Urban Outfitters Loft,KittyKat,6.0,2.0,3,2024-04-21
24,271-604-3446,Urban Outfitters Loft,GatorBoost,3.0,3.0,1,2024-04-21
25,999-999-9999,Trader Tales,Flixnet,1.0,1.0,1,2024-01-01
26,561-761-7547,Trader Tales,Oreoz,4.0,4.0,1,2022-06-27
26,561-761-7547,Trader Tales,Colgatex,3.0,3.0,1,2022-06-27
27,659-190-9378,Trader Tales,Flixnet,22.0,11.0,2,2023-08-20
27,659-190-9378,Trader Tales,RedCow,4.0,4.0,1,2023-08-20
27,659-190-9378,Trader Tales,KittyKat,3.0,3.0,1,2023-08-20
28,782-806-6417,PetPals Mart,Dovee,1.0,1.0,1,2022-03-27
28,782-806-6417,PetPals Mart,Colgatex,2.0,2.0,1,2022-03-27
28,782-806-6417,PetPals Mart,Oreoz,6.0,3.0,2,2022-03-27
29,640-390-3390,Trader Tales,Flixnet,22.0,11.0,2,2022-03-27
29,640-390-3390,Trader Tales,RedCow,12.0,4.0,3,2022-03-27
30,392-468-4297,Trader Tales,Dovee,6.0,2.0,3,2022-11-27
30,392-468-4297,Trader Tales,Krafty Cheddar,5.0,5.0,1,2022-11-27
31,344-278-2013,Urban Outfitters Loft,Oreoz,3.0,3.0,1,2022-04-16
32,891-887-3513,PetPals Mart,Colgatex,2.0,2.0,1,2023-12-28
32,891-887-3513,PetPals Mart,Flixnet,30.0,10.0,3,2023-12-28
33,247-523-1403,PetPals Mart,Oreoz,6.0,3.0,2,2022-08-05
34,752-347-2146,SparkMart,KittyKat,8.0,4.0,2,2024-03-08
34,752-347-2146,SparkMart,Flixnet,12.0,12.0,1,2024-03-08
35,791-853-6464,PetPals Mart,Dovee,1.0,1.0,1,2023-10-17
36,530-539-9474,Urban Outfitters Loft,RedCow,6.0,3.0,2,2023-02-19
36,530-539-9474,Urban Outfitters Loft,KittyKat,2.0,2.0,1,2023-02-19
36,530-539-9474,Urban Outfitters Loft,Flixnet,5.0,5.0,1,2023-02-19
36,530-539-9474,Urban Outfitters Loft,GatorBoost,2.0,2.0,1,2023-02-19
37,924-146-4189,PetPals Mart,Dovee,1.0,1.0,1,2023-08-27
38,563-494-9026,Urban Outfitters Loft,Colgatex,2.0,2.0,1,2023-10-24
39,728-796-4352,BestChoice Buy,Flixnet,33.0,11.0,3,2022-10-02
39,728-796-4352,BestChoice Buy,KittyKat,3.0,3.0,1,2022-10-02
39,728-796-4352,BestChoice Buy,Colgatex,1.0,1.0,1,2022-10-02
40,270-914-6681,PetPals Mart,Krafty Cheddar,8.0,4.0,2,2022-03-02
40,270-914-6681,PetPals Mart,Dovee,1.0,1.0,1,2022-03-02
40,270-914-6681,PetPals Mart,Colgatex,2.0,2.0,1,2022-03-02
41,336-283-3896,Trader Tales,KittyKat,3.0,3.0,1,2022-06-18
41,336-283-3896,Trader Tales,Flixnet,11.0,11.0,1,2022-06-18
42,505-476-1251,PetPals Mart,Krafty Cheddar,4.0,4.0,1,2023-09-02
42,505-476-1251,PetPals Mart,Colgatex,4.0,2.0,2,2023-09-02
42,505-476-1251,PetPals Mart,Popsi,6.0,3.0,2,2023-09-02
43,512-600-6692,Urban Outfitters Loft,Dovee,2.0,1.0,2,2022-04-17
