id,email,phone,city,country,firstname,surname,android,iphone,desktop
1,Jamie.Bright@example.com,533-849-3913,Montreal,Canada,Jamie,Bright,True,False,False
2,Arabella.Knox@example.com,652-272-9539,Los Angeles,USA,Arabella,Knox,True,True,False
3,Yusra.Fletcher@example.com,385-702-8874,Toronto,Canada,Yusra,Fletcher,True,True,True
4,Esme.Nielsen@example.com,621-797-5367,Los Angeles,USA,Esme,Nielsen,True,True,False
5,Beatrix.Everett@example.com,194-640-2758,Paris,France,Beatrix,Everett,True,False,False
6,Dean.Lewis@example.com,243-955-3782,San Diego,USA,Dean,Lewis,True,True,True
7,Inaaya.Velasquez@example.com,489-241-7631,Los Angeles,USA,Inaaya,Velasquez,True,True,True
8,Tasnim.Cobb@example.com,262-380-8877,San Diego,USA,Tasnim,Cobb,False,False,True
9,Asa.Vazquez@example.com,504-421-4485,Toronto,Canada,Asa,Vazquez,True,False,False
10,Keith.Donovan@example.com,549-515-6738,Chicago,USA,Keith,Donovan,False,True,True
11,Moshe.Colon@example.com,131-622-5442,New York,USA,Moshe,Colon,False,True,True
12,Hussain.Santos@example.com,379-352-6285,San Diego,USA,Hussain,Santos,False,True,True
13,Lillian.Hanna@example.com,488-762-8236,Los Angeles,USA,Lillian,Hanna,False,True,False
14,Harvey.Guerrero@example.com,597-677-6862,Chicago,USA,Harvey,Guerrero,False,True,False
15,Leroy.Barrera@example.com,659-190-9378,New York,USA,Leroy,Barrera,True,True,True
16,Zack.Griffin@example.com,467-370-7724,San Diego,USA,Zack,Griffin,False,False,True
17,Adele.Garza@example.com,429-916-1662,New York,USA,Adele,Garza,True,True,True
18,Sandra.Cherry@example.com,218-605-4170,San Francisco,USA,Sandra,Cherry,False,False,True
19,Carmen.Burton@example.com,527-368-7429,Toronto,Canada,Carmen,Burton,True,False,True
20,Donald.Stone@example.com,730-260-4630,London,United Kingdom,Donald,Stone,True,False,True
21,Clifford.Mcgee@example.com,715-116-6302,San Francisco,USA,Clifford,Mcgee,True,True,False
22,Gerald.Maldonado@example.com,660-116-3336,San Francisco,USA,Gerald,Maldonado,True,False,False
23,Danielle.Glenn@example.com,727-709-3351,San Francisco,USA,Danielle,Glenn,True,True,True
24,Isabelle.Lopez@example.com,981-878-3234,Paris,France,Isabelle,Lopez,True,True,False
25,Alina.Mccoy@example.com,495-292-8149,San Francisco,USA,Alina,Mccoy,False,True,True
26,Julius.Garrett@example.com,866-664-7969,Barcelona,Spain,Julius,Garrett,True,True,True
27,Frazer.Anthony@example.com,139-396-1336,New York,USA,Frazer,Anthony,False,True,True
28,Cassie.Molina@example.com,811-806-5304,San Francisco,USA,Cassie,Molina,True,False,True
29,Dafydd.Preston@example.com,368-987-3267,Barcelona,Spain,Dafydd,Preston,True,True,True
30,Stephanie.Rice@example.com,830-901-9870,Montreal,Canada,Stephanie,Rice,True,False,False
31,Bradley.Butler@example.com,937-172-2269,Montreal,Canada,Bradley,Butler,False,True,False
32,Alejandro.Brandt@example.com,334-279-1420,New York,USA,Alejandro,Brandt,True,True,True
33,Louise.Daniel@example.com,917-348-4728,Barcelona,Spain,Louise,Daniel,True,True,False
34,Livia.Howe@example.com,868-828-4315,Toronto,Canada,Livia,Howe,False,True,False
35,Linda.Combs@example.com,742-395-8995,Los Angeles,USA,Linda,Combs,True,True,True
36,Dominik.Odling@example.com,365-145-3897,Los Angeles,USA,Dominik,Odling,True,False,True
37,Lili.Schroeder@example.com,640-348-2128,Toronto,Canada,Lili,Schroeder,True,True,False
38,Jeremiah.Martin@example.com,277-350-5557,London,United Kingdom,Jeremiah,Martin,True,False,False
39,Keyaan.Holland@example.com,845-797-2979,Barcelona,Spain,Keyaan,Holland,True,True,False
40,Clara.Bird@example.com,958-605-3200,San Francisco,USA,Clara,Bird,True,False,False
41,Cody.Riley@example.com,872-906-9681,London,United Kingdom,Cody,Riley,True,True,True
42,Tomas.Griffith@example.com,492-337-4468,London,United Kingdom,Tomas,Griffith,False,True,False
43,Elena.Pineda@example.com,617-226-9486,Los Angeles,USA,Elena,Pineda,True,True,True
44,Diana.Davenport@example.com,505-179-8348,Los Angeles,USA,Diana,Davenport,False,True,True
45,Cordelia.Houston@example.com,946-560-7738,San Francisco,USA,Cordelia,Houston,True,True,False
46,Abubakar.House@example.com,713-179-2294,San Diego,USA,Abubakar,House,False,False,True
47,Celia.Terry@example.com,986-149-3342,New York,USA,Celia,Terry,False,True,True
48,Esther.Mccall@example.com,573-696-6671,Los Angeles,USA,Esther,Mccall,True,False,True
49,Idris.Proctor@example.com,584-182-6496,San Diego,USA,Idris,Proctor,True,False,True
50,Bruno.Noble@example.com,639-790-8394,San Diego,USA,Bruno,Noble,False,True,False
51,Herman.Munoz@example.com,689-881-9382,Los Angeles,USA,Herman,Munoz,True,False,True
52,Amaan.Rangel@example.com,837-435-2302,Montreal,Canada,Amaan,Rangel,True,True,False
53,Prince.Thompson@example.com,115-215-7565,Chicago,USA,Prince,Thompson,False,False,True
54,Bethany.Santana@example.com,924-146-4189,New York,USA,Bethany,Santana,False,True,False
55,Ernest.Martinez@example.com,448-597-4211,San Diego,USA,Ernest,Martinez,True,False,True
56,Susannah.O'Doherty@example.com,981-489-3689,Chicago,USA,Susannah,O'Doherty,True,True,True
57,Billie.Price@example.com,917-866-8131,London,United Kingdom,Billie,Price,False,False,True
58,Orlando.Pitts@example.com,427-711-9658,Los Angeles,USA,Orlando,Pitts,False,True,False
59,Phoebe.Weiss@example.com,299-560-9666,London,United Kingdom,Phoebe,Weiss,True,False,True
60,Juanita.Baldwin@example.com,989-786-8538,San Diego,USA,Juanita,Baldwin,True,True,True
61,Honor.Jacobson@example.com,624-535-4606,San Francisco,USA,Honor,Jacobson,True,False,True
62,Ty.Mcintyre@example.com,743-856-9854,San Francisco,USA,Ty,Mcintyre,True,True,False
63,Johnathan.Berger@example.com,545-458-1679,San Diego,USA,Johnathan,Berger,False,True,True
64,Jason.Snyder@example.com,202-632-2346,San Francisco,USA,Jason,Snyder,True,False,False
65,Aled.Silva@example.com,612-360-5367,Toronto,Canada,Aled,Silva,False,True,False
66,Aisha.Webb@example.com,447-728-9592,San Francisco,USA,Aisha,Webb,True,False,True
67,Dewi.Keith@example.com,816-321-4054,Chicago,USA,Dewi,Keith,True,True,False
68,Saif.Green@example.com,978-659-7286,Paris,France,Saif,Green,False,True,False
69,Saoirse.Keller@example.com,699-966-4749,San Francisco,USA,Saoirse,Keller,True,True,True
70,Valerie.Oneal@example.com,651-335-6190,Toronto,Canada,Valerie,Oneal,True,True,True
71,Ilyas.Dunlap@example.com,491-981-1293,London,United Kingdom,Ilyas,Dunlap,False,True,False
72,Kingsley.Moyer@example.com,927-708-1141,San Francisco,USA,Kingsley,Moyer,True,False,True
73,Kara.Stewart@example.com,794-314-2500,Paris,France,Kara,Stewart,True,True,False
74,Myrtle.Doyle@example.com,525-796-7991,Toronto,Canada,Myrtle,Doyle,True,True,True
75,Marjorie.Shields@example.com,346-207-2724,San Diego,USA,Marjorie,Shields,False,True,True
76,Taha.Casey@example.com,581-100-2001,Los Angeles,USA,Taha,Casey,True,False,True
77,Cleo.Greer@example.com,138-806-4136,Los Angeles,USA,Cleo,Greer,True,True,False
78,Angela.Mcmillan@example.com,868-463-1850,London,United Kingdom,Angela,Mcmillan,True,False,False
79,Vivian.Peterson@example.com,598-995-3909,San Francisco,USA,Vivian,Peterson,True,False,False
80,Cheryl.Owens@example.com,812-775-9881,San Francisco,USA,Cheryl,Owens,True,True,False
81,Ahmad.Castro@example.com,629-807-5687,San Francisco,USA,Ahmad,Castro,True,False,False
82,Casper.Freeman@example.com,932-653-8020,San Diego,USA,Casper,Freeman,True,False,False
83,Zachery.Brennan@example.com,323-591-3874,San Francisco,USA,Zachery,Brennan,True,False,False
84,Safia.Ayers@example.com,512-649-7865,San Francisco,USA,Safia,Ayers,False,True,False
85,Clarence.Hanson@example.com,743-908-5464,Chicago,USA,Clarence,Hanson,True,True,False
86,Douglas.Browning@example.com,247-523-1403,New York,USA,Douglas,Browning,True,False,False
87,Rahim.Cuevas@example.com,300-879-5941,Los Angeles,USA,Rahim,Cuevas,False,True,False
88,Humza.Velez@example.com,931-502-4660,New York,USA,Humza,Velez,False,True,True
89,Everett.Fitzpatrick@example.com,520-305-7264,New York,USA,Everett,Fitzpatrick,False,True,False
90,Anas.Blevins@example.com,138-515-3364,San Diego,USA,Anas,Blevins,True,True,True
91,Amir.Clark@example.com,924-287-4068,London,United Kingdom,Amir,Clark,True,True,True
92,Mohamed.Barr@example.com,604-185-7149,San Francisco,USA,Mohamed,Barr,True,False,False
93,Elif.Khan@example.com,686-123-8571,New York,USA,Elif,Khan,True,False,True
94,Mia.Horne@example.com,667-185-1569,Los Angeles,USA,Mia,Horne,True,True,True
95,Miles.Fisher@example.com,702-511-6770,San Diego,USA,Miles,Fisher,True,True,True
96,Nadia.Neal@example.com,255-874-4270,New York,USA,Nadia,Neal,True,True,True
97,Alastair.Buckley@example.com,776-243-3725,San Diego,USA,Alastair,Buckley,True,False,False
98,Traci.Banks@example.com,313-374-6903,San Francisco,USA,Traci,Banks,True,True,False
99,Colby.Hart@example.com,900-712-6799,San Francisco,USA,Colby,Hart,True,False,True
100,Usman.Swanson@example.com,431-103-9132,London,United Kingdom,Usman,Swanson,True,True,True
101,Michelle.Love@example.com,672-651-8173,New York,USA,Michelle,Love,True,True,False
102,Alina.Walls@example.com,507-883-4629,Chicago,USA,Alina,Walls,True,False,False
103,Caspar.Hudson@example.com,830-584-4874,Toronto,Canada,Caspar,Hudson,False,True,False
104,Chelsea.Wyatt@example.com,750-801-9657,San Diego,USA,Chelsea,Wyatt,False,True,True
105,Franklin.Conway@example.com,768-545-4465,San Diego,USA,Franklin,Conway,True,False,True
106,Ruth.Andrews@example.com,159-468-6067,Chicago,USA,Ruth,Andrews,False,True,True
107,Polly.Reyes@example.com,296-740-3450,San Diego,USA,Polly,Reyes,False,True,False
108,Mohsin.Tucker@example.com,174-389-8757,Toronto,Canada,Mohsin,Tucker,False,False,True
109,Huw.Valentine@example.com,441-847-1955,Chicago,USA,Huw,Valentine,False,True,True
110,Pearl.Perez@example.com,947-926-6369,San Francisco,USA,Pearl,Perez,False,True,False
111,Harriett.Mccoy@example.com,956-438-3865,San Francisco,USA,Harriett,Mccoy,True,True,True
112,Aiden.Galvan@example.com,559-282-1575,San Diego,USA,Aiden,Galvan,False,False,True
113,Kaan.Miranda@example.com,940-569-5175,San Francisco,USA,Kaan,Miranda,True,False,False
114,Laurie.Melendez@example.com,488-382-1416,Toronto,Canada,Laurie,Melendez,False,True,True
115,Tanya.Watson@example.com,432-515-4933,Montreal,Canada,Tanya,Watson,True,True,False
116,Gerard.Vargas@example.com,663-149-3581,San Diego,USA,Gerard,Vargas,True,True,True
117,Priya.Moore@example.com,455-692-4736,Paris,France,Priya,Moore,False,False,True
118,Sean.Bolton@example.com,222-241-5406,Los Angeles,USA,Sean,Bolton,True,True,False
119,Arron.Peck@example.com,226-392-7970,Paris,France,Arron,Peck,True,True,False
120,Justin.Rowland@example.com,665-725-2354,Paris,France,Justin,Rowland,True,True,False
121,Jasper.Brandt@example.com,527-756-7352,London,United Kingdom,Jasper,Brandt,False,False,True
122,Teresa.Mccarty@example.com,223-114-4003,Toronto,Canada,Teresa,Mccarty,False,True,True
123,Finnian.Fisher@example.com,382-879-9946,Toronto,Canada,Finnian,Fisher,True,True,False
124,Carol.York@example.com,402-586-5192,San Diego,USA,Carol,York,True,False,False
125,Nora.Ball@example.com,921-528-9551,Barcelona,Spain,Nora,Ball,False,False,True
126,Bessie.Cole@example.com,424-390-3432,San Diego,USA,Bessie,Cole,False,True,False
127,Zoya.Giles@example.com,301-750-7631,Toronto,Canada,Zoya,Giles,True,True,False
128,Malik.Cuevas@example.com,935-337-2537,San Diego,USA,Malik,Cuevas,True,False,False
129,Alejandro.Duncan@example.com,487-150-9471,London,United Kingdom,Alejandro,Duncan,False,False,True
130,Zohaib.Hartman@example.com,928-400-6426,Montreal,Canada,Zohaib,Hartman,False,False,True
131,Alivia.Armstrong@example.com,398-367-7522,Chicago,USA,Alivia,Armstrong,False,True,False
132,Tina.Powell@example.com,372-218-6551,New York,USA,Tina,Powell,True,False,True
133,Zack.Mcclain@example.com,586-280-9496,New York,USA,Zack,Mcclain,False,True,False
134,Lydia.Chan@example.com,649-585-3076,San Francisco,USA,Lydia,Chan,False,True,True
135,Bertie.Ward@example.com,971-922-8663,Montreal,Canada,Bertie,Ward,True,False,True
136,Hafsah.Booker@example.com,731-730-2543,New York,USA,Hafsah,Booker,False,True,True
137,India.Simmons@example.com,605-920-3435,San Diego,USA,India,Simmons,True,True,False
138,Adnan.Allen@example.com,561-365-7378,Chicago,USA,Adnan,Allen,True,False,True
139,Kamran.Wilcox@example.com,476-365-7838,London,United Kingdom,Kamran,Wilcox,True,False,True
140,Gary.Hutchinson@example.com,245-506-5389,San Francisco,USA,Gary,Hutchinson,True,False,False
141,Adriana.Stafford@example.com,473-741-6496,Montreal,Canada,Adriana,Stafford,False,True,False
142,Everly.Fuentes@example.com,398-369-8927,Barcelona,Spain,Everly,Fuentes,True,False,False
