transaction_id,phone,store,item_name,quantity,price_per_item,total_price,customer_id
1000,233-159-4158,Trader Tales,Krafty Cheddar,1,5.0,5.0,854
1000,233-159-4158,Trader Tales,Popsi,1,4.0,4.0,854
1000,233-159-4158,Trader Tales,Oreoz,2,4.0,8.0,854
1001,725-427-2794,PetPals Mart,Colgatex,1,2.0,2.0,341
1002,659-190-9378,Trader Tales,Colgatex,1,3.0,3.0,15
1002,659-190-9378,Trader Tales,Dovee,1,2.0,2.0,15
1002,659-190-9378,Trader Tales,Flixnet,1,11.0,11.0,15
1003,334-436-6254,Urban Outfitters Loft,Krafty Cheddar,2,4.0,8.0,371
1003,334-436-6254,Urban Outfitters Loft,RedCow,1,3.0,3.0,371
1003,334-436-6254,Urban Outfitters Loft,Dovee,2,1.0,2.0,371
1004,615-102-4849,PetPals Mart,Popsi,1,3.0,3.0,480
1004,615-102-4849,PetPals Mart,Flixnet,1,10.0,10.0,480
1005,294-365-8364,Urban Outfitters Loft,Popsi,1,3.0,3.0,850
1005,294-365-8364,Urban Outfitters Loft,KittyKat,2,2.0,4.0,850
1006,634-813-9351,BestChoice Buy,Flixnet,1,11.0,11.0,564
1006,634-813-9351,BestChoice Buy,Colgatex,2,3.0,6.0,564
1007,273-616-5739,SparkMart,KittyKat,2,4.0,8.0,297
1007,273-616-5739,SparkMart,RedCow,1,5.0,5.0,297
1007,273-616-5739,SparkMart,Dovee,3,3.0,9.0,297
1008,839-124-9420,SparkMart,Colgatex,1,4.0,4.0,305
1008,839-124-9420,SparkMart,RedCow,1,5.0,5.0,305
1008,839-124-9420,SparkMart,KittyKat,1,4.0,4.0,305
1009,645-829-7495,Trader Tales,Krafty Cheddar,1,5.0,5.0,169
1010,444-295-8051,Trader Tales,Flixnet,1,11.0,11.0,752
1010,444-295-8051,Trader Tales,RedCow,1,4.0,4.0,752
1010,444-295-8051,Trader Tales,Popsi,1,4.0,4.0,752
1011,520-305-7264,Trader Tales,Colgatex,1,3.0,3.0,89
1011,520-305-7264,Trader Tales,Popsi,1,4.0,4.0,89
1011,520-305-7264,Trader Tales,Flixnet,1,11.0,11.0,89
1012,891-887-3513,PetPals Mart,Colgatex,1,2.0,2.0,202
1012,891-887-3513,PetPals Mart,Flixnet,3,10.0,30.0,202
1013,114-507-5478,BestChoice Buy,RedCow,1,4.0,4.0,526
1013,114-507-5478,BestChoice Buy,Colgatex,1,3.0,3.0,526
1013,114-507-5478,BestChoice Buy,Dovee,2,2.0,4.0,526
1014,558-608-9550,BestChoice Buy,Krafty Cheddar,1,5.0,5.0,370
1015,372-218-6551,BestChoice Buy,Colgatex,1,3.0,3.0,132
1015,372-218-6551,BestChoice Buy,Krafty Cheddar,2,5.0,10.0,132
1015,372-218-6551,BestChoice Buy,Popsi,1,4.0,4.0,132
1016,441-847-1955,Urban Outfitters Loft,Popsi,3,3.0,9.0,109
1016,441-847-1955,Urban Outfitters Loft,Dovee,3,1.0,3.0,109
1016,441-847-1955,Urban Outfitters Loft,Flixnet,1,10.0,10.0,109
1017,924-146-4189,PetPals Mart,Dovee,1,1.0,1.0,54
1018,512-600-6692,Urban Outfitters Loft,Dovee,2,1.0,2.0,986
1019,362-464-9875,Trader Tales,Popsi,1,4.0,4.0,894
1019,362-464-9875,Trader Tales,Colgatex,2,3.0,6.0,894
1020,101-165-2021,SparkMart,Flixnet,1,12.0,12.0,742
1020,101-165-2021,SparkMart,Popsi,2,5.0,10.0,742
1021,563-494-9026,Urban Outfitters Loft,Colgatex,1,2.0,2.0,328
1022,918-588-9531,Trader Tales,RedCow,2,4.0,8.0,368
1022,918-588-9531,Trader Tales,Krafty Cheddar,1,5.0,5.0,368
1023,315-892-7127,PetPals Mart,KittyKat,3,2.0,6.0,735
1023,315-892-7127,PetPals Mart,Popsi,2,3.0,6.0,735
1023,315-892-7127,PetPals Mart,Dovee,1,1.0,1.0,735
1024,640-390-3390,Trader Tales,Flixnet,2,11.0,22.0,944
1024,640-390-3390,Trader Tales,RedCow,3,4.0,12.0,944
1025,626-458-8110,Targeted Treasures,RedCow,2,5.0,10.0,693
1026,993-541-7464,BestChoice Buy,Colgatex,2,3.0,6.0,533
1026,993-541-7464,BestChoice Buy,RedCow,1,4.0,4.0,533
1027,116-866-3838,Urban Outfitters Loft,Popsi,2,3.0,6.0,602
1027,116-866-3838,Urban Outfitters Loft,Dovee,2,1.0,2.0,602
1027,116-866-3838,Urban Outfitters Loft,RedCow,2,3.0,6.0,602
1028,776-243-3725,Trader Tales,Dovee,1,2.0,2.0,97
1029,553-407-1049,PetPals Mart,Popsi,1,3.0,3.0,667
1029,553-407-1049,PetPals Mart,RedCow,1,3.0,3.0,667
1029,553-407-1049,PetPals Mart,Flixnet,1,10.0,10.0,667
1030,782-806-6417,Urban Outfitters Loft,Oreoz,1,3.0,3.0,990
1031,271-963-2123,Urban Outfitters Loft,Dovee,1,1.0,1.0,224
1032,915-320-3214,Urban Outfitters Loft,Colgatex,1,2.0,2.0,927
