transaction_id,phone_number,store,item,price,price_per_item,quantity
1000,233-159-4158,Trader Tales,Krafty Cheddar,5.0,5.0,1
1000,233-159-4158,Trader Tales,Popsi,4.0,4.0,1
1000,233-159-4158,Trader Tales,Oreoz,8.0,4.0,2
1001,725-427-2794,PetPals Mart,Colgatex,2.0,2.0,1
1002,659-190-9378,Trader Tales,Colgatex,3.0,3.0,1
1002,659-190-9378,Trader Tales,Dovee,2.0,2.0,1
1002,659-190-9378,Trader Tales,Flixnet,11.0,11.0,1
1003,334-436-6254,Urban Outfitters Loft,Krafty Cheddar,8.0,4.0,2
1003,334-436-6254,Urban Outfitters Loft,RedCow,3.0,3.0,1
1003,334-436-6254,Urban Outfitters Loft,Dovee,2.0,1.0,2
1004,615-102-4849,PetPals Mart,Popsi,3.0,3.0,1
1004,615-102-4849,PetPals Mart,Flixnet,10.0,10.0,1
1005,294-365-8364,Urban Outfitters Loft,Popsi,3.0,3.0,1
1005,294-365-8364,Urban Outfitters Loft,KittyKat,4.0,2.0,2
1006,634-813-9351,BestChoice Buy,Flixnet,11.0,11.0,1
1006,634-813-9351,BestChoice Buy,Colgatex,6.0,3.0,2
1007,273-616-5739,SparkMart,KittyKat,8.0,4.0,2
1007,273-616-5739,SparkMart,RedCow,5.0,5.0,1
1007,273-616-5739,SparkMart,Dovee,9.0,3.0,3
1008,839-124-9420,SparkMart,Colgatex,4.0,4.0,1
1008,839-124-9420,SparkMart,RedCow,5.0,5.0,1
1008,839-124-9420,SparkMart,KittyKat,4.0,4.0,1
1009,645-829-7495,Trader Tales,Krafty Cheddar,5.0,5.0,1
1010,444-295-8051,Trader Tales,Flixnet,11.0,11.0,1
1010,444-295-8051,Trader Tales,RedCow,4.0,4.0,1
1010,444-295-8051,Trader Tales,Popsi,4.0,4.0,1
1011,520-305-7264,Trader Tales,Colgatex,3.0,3.0,1
1011,520-305-7264,Trader Tales,Popsi,4.0,4.0,1
1011,520-305-7264,Trader Tales,Flixnet,11.0,11.0,1
1012,891-887-3513,PetPals Mart,Colgatex,2.0,2.0,1
1012,891-887-3513,PetPals Mart,Flixnet,30.0,10.0,3
1013,114-507-5478,BestChoice Buy,RedCow,4.0,4.0,1
1013,114-507-5478,BestChoice Buy,Colgatex,3.0,3.0,1
1013,114-507-5478,BestChoice Buy,Dovee,4.0,2.0,2
1014,558-608-9550,BestChoice Buy,Krafty Cheddar,5.0,5.0,1
1015,372-218-6551,BestChoice Buy,Colgatex,3.0,3.0,1
1015,372-218-6551,BestChoice Buy,Krafty Cheddar,10.0,5.0,2
1015,372-218-6551,BestChoice Buy,Popsi,4.0,4.0,1
1016,441-847-1955,Urban Outfitters Loft,Popsi,9.0,3.0,3
1016,441-847-1955,Urban Outfitters Loft,Dovee,3.0,1.0,3
1016,441-847-1955,Urban Outfitters Loft,Flixnet,10.0,10.0,1
1017,924-146-4189,PetPals Mart,Dovee,1.0,1.0,1
1018,512-600-6692,Urban Outfitters Loft,Dovee,2.0,1.0,2
1019,362-464-9875,Trader Tales,Popsi,4.0,4.0,1
1019,362-464-9875,Trader Tales,Colgatex,6.0,3.0,2
1020,101-165-2021,SparkMart,Flixnet,12.0,12.0,1
1020,101-165-2021,SparkMart,Popsi,10.0,5.0,2
1021,563-494-9026,Urban Outfitters Loft,Colgatex,2.0,2.0,1
1022,918-588-9531,Trader Tales,RedCow,8.0,4.0,2
1022,918-588-9531,Trader Tales,Krafty Cheddar,5.0,5.0,1
1023,315-892-7127,PetPals Mart,KittyKat,6.0,2.0,3
1023,315-892-7127,PetPals Mart,Popsi,6.0,3.0,2
1023,315-892-7127,PetPals Mart,Dovee,1.0,1.0,1
1024,640-390-3390,Trader Tales,Flixnet,22.0,11.0,2
1024,640-390-3390,Trader Tales,RedCow,12.0,4.0,3
1025,626-458-8110,Targeted Treasures,RedCow,10.0,5.0,2
1026,993-541-7464,BestChoice Buy,Colgatex,6.0,3.0,2
1026,993-541-7464,BestChoice Buy,RedCow,4.0,4.0,1
1027,116-866-3838,Urban Outfitters Loft,Popsi,6.0,3.0,2
1027,116-866-3838,Urban Outfitters Loft,Dovee,2.0,1.0,2
1027,116-866-3838,Urban Outfitters Loft,RedCow,6.0,3.0,2
1028,776-243-3725,Trader Tales,Dovee,2.0,2.0,1
1029,553-407-1049,PetPals Mart,Popsi,3.0,3.0,1
1029,553-407-1049,PetPals Mart,RedCow,3.0,3.0,1
1029,553-407-1049,PetPals Mart,Flixnet,10.0,10.0,1
1030,782-806-6417,Urban Outfitters Loft,Oreoz,3.0,3.0,1
1031,271-963-2123,Urban Outfitters Loft,Dovee,1.0,1.0,1
1032,915-320-3214,Urban Outfitters Loft,Colgatex,2.0,2.0,1
1033,953-386-1321,PetPals Mart,Coca-Splash,2.0,2.0,1
1033,953-386-1321,PetPals Mart,Popsi,6.0,3.0,2
1033,953-386-1321,PetPals Mart,Colgatex,2.0,2.0,1
1034,731-730-2543,Urban Outfitters Loft,Colgatex,2.0,2.0,1
1035,544-944-1609,PetPals Mart,Colgatex,2.0,2.0,1
1036,891-887-3513,PetPals Mart,RedCow,3.0,3.0,1
1037,478-814-3941,Trader Tales,Dovee,2.0,2.0,1
1037,478-814-3941,Trader Tales,Colgatex,9.0,3.0,3
1038,742-395-8995,Urban Outfitters Loft,Flixnet,30.0,10.0,3
1038,742-395-8995,Urban Outfitters Loft,Popsi,3.0,3.0,1
1038,742-395-8995,Urban Outfitters Loft,GatorBoost,3.0,3.0,1
1039,849-570-8792,PetPals Mart,Dovee,1.0,1.0,1
1039,849-570-8792,PetPals Mart,Oreoz,6.0,3.0,2
1039,849-570-8792,PetPals Mart,Colgatex,2.0,2.0,1
1040,220-102-3684,BestChoice Buy,Krafty Cheddar,10.0,5.0,2
1041,805-146-4773,Urban Outfitters Loft,GatorBoost,6.0,3.0,2
1041,805-146-4773,Urban Outfitters Loft,Colgatex,2.0,2.0,1
1042,159-573-6793,Urban Outfitters Loft,Dovee,1.0,1.0,1
1042,159-573-6793,Urban Outfitters Loft,Oreoz,3.0,3.0,1
1043,549-750-2047,Urban Outfitters Loft,KittyKat,2.0,2.0,1
1044,326-267-7811,Urban Outfitters Loft,KittyKat,2.0,2.0,1
1044,326-267-7811,Urban Outfitters Loft,Dovee,3.0,1.0,3
1045,247-523-1403,PetPals Mart,Oreoz,6.0,3.0,2
1046,950-639-9777,PetPals Mart,Oreoz,3.0,3.0,1
1046,950-639-9777,PetPals Mart,Dovee,1.0,1.0,1
1047,727-709-3351,BestChoice Buy,Colgatex,6.0,3.0,2
1047,727-709-3351,BestChoice Buy,Popsi,8.0,4.0,2
1048,883-481-7339,Urban Outfitters Loft,RedCow,3.0,3.0,1
1048,883-481-7339,Urban Outfitters Loft,Krafty Cheddar,4.0,4.0,1
1049,936-522-1085,Urban Outfitters Loft,Popsi,3.0,3.0,1
1049,936-522-1085,Urban Outfitters Loft,RedCow,6.0,3.0,2
1049,936-522-1085,Urban Outfitters Loft,Dovee,1.0,1.0,1
1050,424-390-3432,PetPals Mart,Krafty Cheddar,4.0,4.0,1
1050,424-390-3432,PetPals Mart,Dovee,2.0,1.0,2
1051,336-283-3896,Trader Tales,KittyKat,3.0,3.0,1
1051,336-283-3896,Trader Tales,Flixnet,11.0,11.0,1
1052,738-911-3567,Urban Outfitters Loft,Flixnet,20.0,10.0,2
1052,738-911-3567,Urban Outfitters Loft,RedCow,3.0,3.0,1
1053,561-761-7547,Trader Tales,Oreoz,4.0,4.0,1
1053,561-761-7547,Trader Tales,Colgatex,3.0,3.0,1
1054,227-737-8739,SparkMart,Flixnet,12.0,12.0,1
1055,515-268-3667,PetPals Mart,Dovee,1.0,1.0,1
1056,392-468-4297,Trader Tales,Dovee,6.0,2.0,3
1056,392-468-4297,Trader Tales,Krafty Cheddar,5.0,5.0,1
1057,645-829-7495,SparkMart,Colgatex,8.0,4.0,2
1057,645-829-7495,SparkMart,Flixnet,24.0,12.0,2
1058,520-550-1148,Urban Outfitters Loft,Krafty Cheddar,4.0,4.0,1
1058,520-550-1148,Urban Outfitters Loft,Popsi,3.0,3.0,1
1059,516-779-4464,Trader Tales,Dovee,4.0,2.0,2
1060,558-608-9550,Trader Tales,Dovee,4.0,2.0,2
1061,752-347-2146,SparkMart,KittyKat,8.0,4.0,2
1061,752-347-2146,SparkMart,Flixnet,12.0,12.0,1
1062,139-396-1336,PetPals Mart,Dovee,3.0,1.0,3
1062,139-396-1336,PetPals Mart,Popsi,6.0,3.0,2
