id,name,phone_number,email,city,country,device_count,android,iphone,desktop,promotion_id,promoted_item,responded,sent_from,sent_to,amount_sent,date_sent,received_from,received_to,amount_received,date_received,transaction_id,store,purchased_item,price,price_per_item,quantity
0001,Jamie Bright,533-849-3913,Jamie.Bright@example.com,Montreal,Canada,1.0,Yes,No,No,,,,0001,0052,25.02,2023-06-05,0184,0001,42.48,2024-01-05,,,,,,
0001,Jamie Bright,533-849-3913,Jamie.Bright@example.com,Montreal,Canada,1.0,Yes,No,No,,,,0001,0825,20.31,2023-09-13,0184,0001,42.48,2024-01-05,,,,,,
0001,Jamie Bright,533-849-3913,Jamie.Bright@example.com,Montreal,Canada,1.0,Yes,No,No,,,,0001,0749,31.2,2023-09-29,0184,0001,42.48,2024-01-05,,,,,,
0001,Jamie Bright,533-849-3913,Jamie.Bright@example.com,Montreal,Canada,1.0,Yes,No,No,,,,0001,0830,8.68,2024-01-30,0184,0001,42.48,2024-01-05,,,,,,
0002,Arabella Knox,652-272-9539,Arabella.Knox@example.com,Los Angeles,USA,2.0,Yes,Yes,No,,,,0002,0899,75.15,2024-04-15,,,,,1108,Urban Outfitters Loft,RedCow,6.0,3.0,2.0
0002,Arabella Knox,652-272-9539,Arabella.Knox@example.com,Los Angeles,USA,2.0,Yes,Yes,No,,,,0002,0899,75.15,2024-04-15,,,,,1108,Urban Outfitters Loft,Dovee,1.0,1.0,1.0
0002,Arabella Knox,652-272-9539,Arabella.Knox@example.com,Los Angeles,USA,2.0,Yes,Yes,No,,,,0002,0899,75.15,2024-04-15,,,,,1108,Urban Outfitters Loft,Popsi,3.0,3.0,1.0
0003,Yusra Fletcher,385-702-8874,Yusra.Fletcher@example.com,Toronto,Canada,3.0,Yes,Yes,Yes,,,,,,,,,,,,,,,,,
0004,Esme Nielsen,621-797-5367,Esme.Nielsen@example.com,Los Angeles,USA,2.0,Yes,Yes,No,,,,,,,,,,,,,,,,,
0006,Dean Lewis,243-955-3782,Dean.Lewis@example.com,San Diego,USA,3.0,Yes,Yes,Yes,,,,,,,,,,,,,,,,,
0007,Inaaya Velasquez,489-241-7631,Inaaya.Velasquez@example.com,Los Angeles,USA,3.0,Yes,Yes,Yes,,,,,,,,,,,,1143,PetPals Mart,RedCow,3.0,3.0,1.0
0008,Tasnim Cobb,262-380-8877,Tasnim.Cobb@example.com,San Diego,USA,1.0,No,No,Yes,,,,,,,,,,,,,,,,,
0009,Asa Vazquez,504-421-4485,Asa.Vazquez@example.com,Toronto,Canada,1.0,Yes,No,No,,,,,,,,0982,0009,28.56,2023-10-26,,,,,,
0010,Keith Donovan,549-515-6738,Keith.Donovan@example.com,Chicago,USA,2.0,No,Yes,Yes,,,,0010,0211,62.25,2023-09-14,,,,,1079,SparkMart,GatorBoost,5.0,5.0,1.0
0010,Keith Donovan,549-515-6738,Keith.Donovan@example.com,Chicago,USA,2.0,No,Yes,Yes,,,,0010,0211,62.25,2023-09-14,,,,,1079,SparkMart,Krafty Cheddar,6.0,6.0,1.0
0010,Keith Donovan,549-515-6738,Keith.Donovan@example.com,Chicago,USA,2.0,No,Yes,Yes,,,,0010,0211,62.25,2023-09-14,,,,,1079,SparkMart,Popsi,15.0,5.0,3.0
0011,Moshe Colon,131-622-5442,Moshe.Colon@example.com,New York,USA,2.0,No,Yes,Yes,,,,0011,0171,25.66,2022-06-10,,,,,,,,,,
0012,Hussain Santos,379-352-6285,Hussain.Santos@example.com,San Diego,USA,2.0,No,Yes,Yes,,,,,,,,0871,0012,49.84,2023-06-19,,,,,,
0013,Lillian Hanna,488-762-8236,Lillian.Hanna@example.com,Los Angeles,USA,1.0,No,Yes,No,,,,,,,,,,,,,,,,,
0014,Harvey Guerrero,597-677-6862,Harvey.Guerrero@example.com,Chicago,USA,1.0,No,Yes,No,,,,,,,,,,,,,,,,,
0015,Leroy Barrera,659-190-9378,Leroy.Barrera@example.com,New York,USA,3.0,Yes,Yes,Yes,,,,,,,,,,,,1002,Trader Tales,Colgatex,3.0,3.0,1.0
0015,Leroy Barrera,659-190-9378,Leroy.Barrera@example.com,New York,USA,3.0,Yes,Yes,Yes,,,,,,,,,,,,1002,Trader Tales,Dovee,2.0,2.0,1.0
0015,Leroy Barrera,659-190-9378,Leroy.Barrera@example.com,New York,USA,3.0,Yes,Yes,Yes,,,,,,,,,,,,1002,Trader Tales,Flixnet,11.0,11.0,1.0
0015,Leroy Barrera,659-190-9378,Leroy.Barrera@example.com,New York,USA,3.0,Yes,Yes,Yes,,,,,,,,,,,,1138,Trader Tales,Flixnet,22.0,11.0,2.0
0015,Leroy Barrera,659-190-9378,Leroy.Barrera@example.com,New York,USA,3.0,Yes,Yes,Yes,,,,,,,,,,,,1138,Trader Tales,RedCow,4.0,4.0,1.0
0015,Leroy Barrera,659-190-9378,Leroy.Barrera@example.com,New York,USA,3.0,Yes,Yes,Yes,,,,,,,,,,,,1138,Trader Tales,KittyKat,3.0,3.0,1.0
0016,Zack Griffin,467-370-7724,Zack.Griffin@example.com,San Diego,USA,1.0,No,No,Yes,,,,,,,,,,,,,,,,,
0017,Adele Garza,429-916-1662,Adele.Garza@example.com,New York,USA,3.0,Yes,Yes,Yes,,,,,,,,,,,,1074,PetPals Mart,RedCow,6.0,3.0,2.0
0018,Sandra Cherry,218-605-4170,Sandra.Cherry@example.com,San Francisco,USA,1.0,No,No,Yes,,,,,,,,,,,,,,,,,
0019,Carmen Burton,527-368-7429,Carmen.Burton@example.com,Toronto,Canada,2.0,Yes,No,Yes,,,,,,,,,,,,,,,,,
0020,Donald Stone,730-260-4630,Donald.Stone@example.com,London,United Kingdom,2.0,Yes,No,Yes,,,,,,,,0952,0020,73.27,2024-03-10,,,,,,
0021,Clifford Mcgee,715-116-6302,Clifford.Mcgee@example.com,San Francisco,USA,2.0,Yes,Yes,No,,,,,,,,,,,,,,,,,
0022,Gerald Maldonado,660-116-3336,Gerald.Maldonado@example.com,San Francisco,USA,1.0,Yes,No,No,,,,0022,0976,19.84,2022-07-27,,,,,,,,,,
0023,Danielle Glenn,727-709-3351,Danielle.Glenn@example.com,San Francisco,USA,3.0,Yes,Yes,Yes,,,,,,,,,,,,1047,BestChoice Buy,Colgatex,6.0,3.0,2.0
0023,Danielle Glenn,727-709-3351,Danielle.Glenn@example.com,San Francisco,USA,3.0,Yes,Yes,Yes,,,,,,,,,,,,1047,BestChoice Buy,Popsi,8.0,4.0,2.0
0025,Alina Mccoy,495-292-8149,Alina.Mccoy@example.com,San Francisco,USA,2.0,No,Yes,Yes,,,,,,,,,,,,,,,,,
0027,Frazer Anthony,139-396-1336,Frazer.Anthony@example.com,New York,USA,2.0,No,Yes,Yes,,,,,,,,,,,,1062,PetPals Mart,Dovee,3.0,1.0,3.0
0027,Frazer Anthony,139-396-1336,Frazer.Anthony@example.com,New York,USA,2.0,No,Yes,Yes,,,,,,,,,,,,1062,PetPals Mart,Popsi,6.0,3.0,2.0
0027,Frazer Anthony,139-396-1336,Frazer.Anthony@example.com,New York,USA,2.0,No,Yes,Yes,,,,,,,,,,,,1062,PetPals Mart,Colgatex,4.0,2.0,2.0
0028,Cassie Molina,811-806-5304,Cassie.Molina@example.com,San Francisco,USA,2.0,Yes,No,Yes,,,,0028,0907,12.86,2022-05-06,,,,,1064,Trader Tales,Flixnet,11.0,11.0,1.0
0028,Cassie Molina,811-806-5304,Cassie.Molina@example.com,San Francisco,USA,2.0,Yes,No,Yes,,,,0028,0491,87.13,2022-09-06,,,,,1064,Trader Tales,Flixnet,11.0,11.0,1.0
0030,Stephanie Rice,830-901-9870,Stephanie.Rice@example.com,Montreal,Canada,1.0,Yes,No,No,,,,,,,,,,,,,,,,,
0031,Bradley Butler,937-172-2269,Bradley.Butler@example.com,Montreal,Canada,1.0,No,Yes,No,,,,,,,,0473,0031,9.97,2023-12-08,,,,,,
0032,Alejandro Brandt,334-279-1420,Alejandro.Brandt@example.com,New York,USA,3.0,Yes,Yes,Yes,,,,,,,,,,,,,,,,,
0034,Livia Howe,868-828-4315,Livia.Howe@example.com,Toronto,Canada,1.0,No,Yes,No,,,,,,,,,,,,,,,,,
0035,Linda Combs,742-395-8995,Linda.Combs@example.com,Los Angeles,USA,3.0,Yes,Yes,Yes,,,,,,,,,,,,1038,Urban Outfitters Loft,Flixnet,30.0,10.0,3.0
0035,Linda Combs,742-395-8995,Linda.Combs@example.com,Los Angeles,USA,3.0,Yes,Yes,Yes,,,,,,,,,,,,1038,Urban Outfitters Loft,Popsi,3.0,3.0,1.0
